Algorithm,Time Taken,Best Tour,Best Cost,Num Nodes,Edge Percentage,Num Edges,Adjacency List
tsp_brute_force,0.004958391189575195,,inf,7,10.285714285714285,12,"[(0, 4, 100), (1, 2, 59), (2, 5, 59), (2, 1, 59), (3, 4, 51), (3, 6, 78), (4, 0, 100), (4, 5, 48), (4, 3, 51), (5, 4, 48), (5, 2, 59), (6, 3, 78)]"
tsp_brute_force,0.011406898498535156,"[0, 5, 1, 6, 3, 2, 4, 0]",165,7,27.428571428571427,32,"[(0, 4, 35), (0, 2, 100), (0, 5, 25), (0, 1, 47), (1, 5, 2), (1, 6, 10), (1, 2, 66), (1, 3, 91), (1, 4, 31), (1, 0, 47), (2, 4, 45), (2, 1, 9), (2, 6, 62), (2, 0, 100), (2, 3, 69), (3, 6, 13), (3, 5, 87), (3, 1, 33), (3, 4, 83), (3, 2, 69), (4, 2, 13), (4, 6, 15), (4, 0, 1), (4, 1, 31), (4, 3, 83), (5, 3, 87), (5, 1, 2), (5, 0, 25), (6, 3, 13), (6, 4, 15), (6, 1, 10), (6, 2, 62)]"
tsp_brute_force,0.024303436279296875,"[0, 3, 6, 2, 1, 5, 4, 0]",193,7,36.0,42,"[(0, 1, 27), (0, 2, 92), (0, 3, 73), (0, 4, 34), (0, 5, 74), (0, 6, 93), (1, 0, 27), (1, 2, 66), (1, 3, 46), (1, 4, 40), (1, 5, 2), (1, 6, 75), (2, 0, 92), (2, 1, 18), (2, 3, 94), (2, 4, 77), (2, 5, 77), (2, 6, 27), (3, 0, 77), (3, 1, 89), (3, 2, 94), (3, 4, 55), (3, 5, 71), (3, 6, 29), (4, 0, 34), (4, 1, 40), (4, 2, 77), (4, 3, 55), (4, 5, 14), (4, 6, 39), (5, 0, 74), (5, 1, 2), (5, 2, 77), (5, 3, 71), (5, 4, 14), (5, 6, 55), (6, 0, 93), (6, 1, 75), (6, 2, 23), (6, 3, 29), (6, 4, 39), (6, 5, 55)]"
tsp_brute_force,0.004958391189575195,,inf,7,10.285714285714285,12,"[(0, 4, 9), (0, 5, 80), (0, 2, 5), (1, 4, 31), (2, 0, 5), (3, 4, 27), (4, 1, 31), (4, 3, 27), (4, 0, 9), (4, 6, 15), (5, 0, 80), (6, 4, 15)]"
tsp_brute_force,0.011904239654541016,"[0, 5, 4, 3, 6, 1, 2, 0]",177,7,27.428571428571427,32,"[(0, 5, 4), (0, 6, 64), (0, 2, 22), (0, 4, 7), (0, 1, 10), (1, 5, 37), (1, 6, 81), (1, 2, 40), (1, 3, 64), (1, 0, 10), (2, 1, 40), (2, 5, 87), (2, 0, 22), (2, 4, 67), (2, 6, 90), (3, 4, 63), (3, 6, 25), (3, 1, 64), (4, 5, 12), (4, 3, 38), (4, 2, 43), (4, 0, 7), (5, 4, 12), (5, 1, 37), (5, 0, 4), (5, 2, 79), (5, 6, 90), (6, 1, 36), (6, 3, 25), (6, 0, 64), (6, 5, 90), (6, 2, 90)]"
tsp_brute_force,0.024302244186401367,"[0, 5, 4, 1, 2, 3, 6, 0]",132,7,36.0,42,"[(0, 1, 30), (0, 2, 74), (0, 3, 79), (0, 4, 75), (0, 5, 25), (0, 6, 2), (1, 0, 30), (1, 2, 59), (1, 3, 71), (1, 4, 2), (1, 5, 25), (1, 6, 42), (2, 0, 39), (2, 1, 59), (2, 3, 11), (2, 4, 92), (2, 5, 59), (2, 6, 37), (3, 0, 79), (3, 1, 71), (3, 2, 11), (3, 4, 74), (3, 5, 68), (3, 6, 20), (4, 0, 75), (4, 1, 2), (4, 2, 92), (4, 3, 74), (4, 5, 13), (4, 6, 43), (5, 0, 100), (5, 1, 25), (5, 2, 59), (5, 3, 68), (5, 4, 13), (5, 6, 92), (6, 0, 2), (6, 1, 42), (6, 2, 33), (6, 3, 20), (6, 4, 43), (6, 5, 92)]"
tsp_brute_force,0.004960536956787109,,inf,7,10.285714285714285,12,"[(0, 4, 70), (0, 6, 1), (1, 5, 63), (1, 3, 25), (2, 6, 16), (3, 1, 55), (4, 5, 99), (4, 0, 70), (5, 4, 99), (5, 1, 63), (6, 0, 1), (6, 2, 16)]"
tsp_brute_force,0.009919404983520508,"[0, 5, 4, 3, 6, 1, 2, 0]",155,7,24.0,28,"[(0, 5, 29), (0, 2, 2), (0, 4, 100), (0, 6, 68), (1, 3, 45), (1, 6, 60), (1, 2, 28), (1, 4, 72), (2, 0, 2), (2, 1, 63), (2, 5, 32), (3, 1, 45), (3, 6, 1), (3, 4, 17), (4, 5, 58), (4, 0, 100), (4, 3, 17), (4, 6, 92), (4, 1, 72), (5, 0, 29), (5, 4, 18), (5, 6, 45), (5, 2, 8), (6, 5, 45), (6, 3, 1), (6, 1, 60), (6, 4, 92), (6, 0, 68)]"
tsp_brute_force,0.02430438995361328,"[0, 1, 6, 4, 5, 2, 3, 0]",176,7,36.0,42,"[(0, 1, 17), (0, 2, 88), (0, 3, 78), (0, 4, 51), (0, 5, 70), (0, 6, 100), (1, 0, 17), (1, 2, 78), (1, 3, 83), (1, 4, 19), (1, 5, 79), (1, 6, 7), (2, 0, 88), (2, 1, 88), (2, 3, 7), (2, 4, 92), (2, 5, 99), (2, 6, 26), (3, 0, 7), (3, 1, 83), (3, 2, 7), (3, 4, 46), (3, 5, 31), (3, 6, 89), (4, 0, 51), (4, 1, 19), (4, 2, 92), (4, 3, 46), (4, 5, 51), (4, 6, 24), (5, 0, 70), (5, 1, 79), (5, 2, 63), (5, 3, 21), (5, 4, 51), (5, 6, 92), (6, 0, 99), (6, 1, 86), (6, 2, 26), (6, 3, 89), (6, 4, 24), (6, 5, 92)]"
tsp_brute_force,0.004960775375366211,,inf,7,10.285714285714285,12,"[(0, 2, 68), (0, 5, 24), (0, 3, 34), (1, 6, 84), (2, 6, 10), (2, 4, 51), (2, 0, 68), (3, 0, 34), (4, 2, 51), (5, 0, 59), (6, 1, 84), (6, 2, 10)]"
tsp_brute_force,0.011826276779174805,"[0, 5, 1, 3, 2, 4, 6, 0]",225,7,27.428571428571427,32,"[(0, 4, 40), (0, 2, 57), (0, 6, 75), (0, 5, 10), (0, 3, 49), (0, 1, 16), (1, 5, 68), (1, 0, 23), (1, 3, 65), (2, 4, 24), (2, 0, 10), (2, 3, 91), (3, 5, 96), (3, 0, 67), (3, 4, 90), (3, 1, 65), (3, 6, 46), (3, 2, 4), (4, 0, 40), (4, 2, 24), (4, 5, 88), (4, 3, 90), (4, 6, 45), (5, 6, 96), (5, 3, 96), (5, 0, 10), (5, 4, 88), (5, 1, 7), (6, 5, 96), (6, 0, 70), (6, 4, 76), (6, 3, 46)]"
tsp_brute_force,0.02480006217956543,"[0, 6, 3, 4, 5, 2, 1, 0]",233,7,36.0,42,"[(0, 1, 23), (0, 2, 37), (0, 3, 91), (0, 4, 60), (0, 5, 41), (0, 6, 9), (1, 0, 23), (1, 2, 94), (1, 3, 91), (1, 4, 93), (1, 5, 36), (1, 6, 97), (2, 0, 37), (2, 1, 44), (2, 3, 98), (2, 4, 94), (2, 5, 26), (2, 6, 58), (3, 0, 91), (3, 1, 91), (3, 2, 98), (3, 4, 30), (3, 5, 100), (3, 6, 87), (4, 0, 60), (4, 1, 93), (4, 2, 94), (4, 3, 30), (4, 5, 73), (4, 6, 56), (5, 0, 41), (5, 1, 61), (5, 2, 26), (5, 3, 100), (5, 4, 73), (5, 6, 46), (6, 0, 9), (6, 1, 97), (6, 2, 58), (6, 3, 28), (6, 4, 56), (6, 5, 25)]"
tsp_brute_force,0.038687705993652344,,inf,8,12.25,14,"[(0, 3, 42), (0, 7, 81), (1, 2, 82), (1, 6, 26), (1, 4, 52), (2, 1, 82), (2, 3, 41), (3, 2, 41), (3, 0, 42), (4, 1, 52), (4, 5, 12), (5, 4, 12), (6, 1, 26), (7, 0, 81)]"
tsp_brute_force,0.11212372779846191,"[0, 6, 1, 3, 5, 4, 2, 7, 0]",224,8,36.75,42,"[(0, 4, 53), (0, 1, 66), (0, 5, 88), (0, 6, 75), (0, 7, 23), (0, 3, 72), (0, 2, 62), (1, 5, 73), (1, 0, 66), (1, 2, 16), (1, 6, 45), (1, 4, 83), (1, 3, 4), (2, 7, 1), (2, 4, 21), (2, 6, 79), (2, 1, 16), (2, 3, 47), (2, 5, 80), (2, 0, 62), (3, 2, 47), (3, 5, 52), (3, 6, 97), (3, 0, 72), (3, 7, 63), (3, 1, 4), (4, 2, 21), (4, 0, 53), (4, 5, 86), (4, 1, 83), (5, 4, 3), (5, 1, 73), (5, 0, 88), (5, 2, 80), (5, 3, 58), (6, 2, 30), (6, 1, 45), (6, 0, 75), (6, 3, 97), (7, 2, 1), (7, 0, 23), (7, 3, 63)]"
tsp_brute_force,0.2227036952972412,"[0, 6, 1, 7, 2, 5, 3, 4, 0]",258,8,49.0,56,"[(0, 1, 95), (0, 2, 92), (0, 3, 82), (0, 4, 51), (0, 5, 89), (0, 6, 33), (0, 7, 85), (1, 0, 95), (1, 2, 71), (1, 3, 15), (1, 4, 64), (1, 5, 76), (1, 6, 37), (1, 7, 17), (2, 0, 92), (2, 1, 71), (2, 3, 52), (2, 4, 92), (2, 5, 15), (2, 6, 70), (2, 7, 45), (3, 0, 82), (3, 1, 15), (3, 2, 52), (3, 4, 21), (3, 5, 46), (3, 6, 78), (3, 7, 42), (4, 0, 51), (4, 1, 64), (4, 2, 92), (4, 3, 21), (4, 5, 64), (4, 6, 97), (4, 7, 42), (5, 0, 89), (5, 1, 76), (5, 2, 100), (5, 3, 39), (5, 4, 64), (5, 6, 62), (5, 7, 50), (6, 0, 33), (6, 1, 37), (6, 2, 70), (6, 3, 78), (6, 4, 97), (6, 5, 62), (6, 7, 43), (7, 0, 56), (7, 1, 17), (7, 2, 45), (7, 3, 42), (7, 4, 42), (7, 5, 50), (7, 6, 43)]"
tsp_brute_force,0.03868842124938965,,inf,8,12.25,14,"[(0, 4, 99), (1, 5, 45), (1, 4, 48), (1, 3, 33), (1, 6, 72), (2, 7, 71), (3, 1, 33), (4, 1, 48), (4, 0, 99), (5, 1, 45), (6, 1, 11), (6, 7, 74), (7, 6, 74), (7, 2, 71)]"
tsp_brute_force,0.10465598106384277,"[0, 1, 5, 2, 7, 6, 3, 4, 0]",278,8,38.5,44,"[(0, 1, 75), (0, 5, 41), (0, 6, 65), (0, 4, 48), (1, 0, 75), (1, 3, 65), (1, 2, 85), (1, 5, 33), (1, 6, 30), (1, 4, 76), (2, 4, 73), (2, 1, 86), (2, 5, 30), (2, 6, 47), (2, 7, 25), (3, 6, 44), (3, 1, 65), (3, 4, 45), (3, 5, 71), (4, 6, 13), (4, 5, 19), (4, 2, 73), (4, 3, 45), (4, 7, 87), (4, 0, 15), (4, 1, 76), (5, 7, 56), (5, 4, 23), (5, 0, 41), (5, 6, 53), (5, 1, 33), (5, 2, 30), (5, 3, 71), (6, 7, 53), (6, 4, 13), (6, 3, 2), (6, 0, 65), (6, 5, 53), (6, 2, 75), (6, 1, 18), (7, 6, 53), (7, 5, 56), (7, 4, 49), (7, 2, 65)]"
tsp_brute_force,0.22617626190185547,"[0, 5, 6, 2, 1, 7, 3, 4, 0]",215,8,49.0,56,"[(0, 1, 63), (0, 2, 96), (0, 3, 75), (0, 4, 56), (0, 5, 40), (0, 6, 65), (0, 7, 89), (1, 0, 63), (1, 2, 34), (1, 3, 25), (1, 4, 95), (1, 5, 60), (1, 6, 46), (1, 7, 30), (2, 0, 96), (2, 1, 6), (2, 3, 73), (2, 4, 40), (2, 5, 32), (2, 6, 22), (2, 7, 36), (3, 0, 75), (3, 1, 25), (3, 2, 73), (3, 4, 9), (3, 5, 5), (3, 6, 72), (3, 7, 27), (4, 0, 56), (4, 1, 40), (4, 2, 40), (4, 3, 9), (4, 5, 35), (4, 6, 79), (4, 7, 69), (5, 0, 40), (5, 1, 60), (5, 2, 32), (5, 3, 12), (5, 4, 35), (5, 6, 25), (5, 7, 96), (6, 0, 65), (6, 1, 81), (6, 2, 22), (6, 3, 72), (6, 4, 20), (6, 5, 25), (6, 7, 24), (7, 0, 89), (7, 1, 30), (7, 2, 36), (7, 3, 27), (7, 4, 69), (7, 5, 96), (7, 6, 24)]"
tsp_brute_force,0.04067230224609375,,inf,8,12.25,14,"[(0, 5, 50), (1, 6, 89), (1, 7, 74), (1, 3, 22), (1, 2, 87), (2, 1, 58), (2, 4, 44), (3, 1, 29), (3, 5, 32), (4, 2, 44), (5, 3, 32), (5, 0, 50), (6, 1, 89), (7, 1, 74)]"
tsp_brute_force,0.09820699691772461,"[0, 1, 7, 6, 4, 5, 3, 2, 0]",329,8,36.75,42,"[(0, 1, 87), (0, 6, 77), (0, 3, 23), (0, 2, 71), (0, 5, 99), (1, 0, 87), (1, 3, 68), (1, 5, 94), (1, 7, 63), (2, 3, 87), (2, 4, 64), (2, 6, 70), (2, 7, 48), (2, 0, 71), (3, 1, 68), (3, 2, 48), (3, 5, 67), (3, 4, 81), (3, 6, 99), (3, 0, 23), (3, 7, 54), (4, 7, 79), (4, 2, 64), (4, 6, 31), (4, 5, 1), (4, 3, 81), (5, 7, 83), (5, 1, 94), (5, 3, 24), (5, 4, 1), (5, 0, 99), (6, 2, 69), (6, 0, 77), (6, 4, 31), (6, 3, 99), (6, 7, 4), (7, 4, 79), (7, 5, 60), (7, 6, 4), (7, 3, 54), (7, 1, 63), (7, 2, 48)]"
tsp_brute_force,0.22518467903137207,"[0, 7, 4, 1, 2, 3, 5, 6, 0]",204,8,49.0,56,"[(0, 1, 89), (0, 2, 84), (0, 3, 36), (0, 4, 46), (0, 5, 13), (0, 6, 2), (0, 7, 7), (1, 0, 89), (1, 2, 59), (1, 3, 16), (1, 4, 27), (1, 5, 55), (1, 6, 83), (1, 7, 40), (2, 0, 84), (2, 1, 59), (2, 3, 58), (2, 4, 93), (2, 5, 59), (2, 6, 90), (2, 7, 59), (3, 0, 36), (3, 1, 16), (3, 2, 58), (3, 4, 51), (3, 5, 6), (3, 6, 71), (3, 7, 14), (4, 0, 46), (4, 1, 27), (4, 2, 93), (4, 3, 51), (4, 5, 70), (4, 6, 40), (4, 7, 40), (5, 0, 43), (5, 1, 55), (5, 2, 59), (5, 3, 6), (5, 4, 70), (5, 6, 5), (5, 7, 34), (6, 0, 2), (6, 1, 83), (6, 2, 90), (6, 3, 98), (6, 4, 40), (6, 5, 40), (6, 7, 23), (7, 0, 7), (7, 1, 40), (7, 2, 59), (7, 3, 14), (7, 4, 40), (7, 5, 34), (7, 6, 23)]"
tsp_brute_force,0.039679765701293945,,inf,8,12.25,14,"[(0, 4, 25), (1, 2, 33), (1, 3, 85), (2, 1, 33), (3, 1, 85), (3, 6, 39), (3, 4, 40), (3, 7, 60), (4, 3, 40), (4, 0, 25), (5, 6, 80), (6, 3, 39), (6, 5, 34), (7, 3, 60)]"
tsp_brute_force,0.09523200988769531,"[0, 2, 1, 5, 7, 6, 4, 3, 0]",285,8,36.75,42,"[(0, 6, 69), (0, 4, 71), (0, 3, 40), (0, 2, 35), (1, 5, 19), (1, 2, 60), (1, 6, 99), (2, 5, 16), (2, 4, 21), (2, 1, 60), (2, 7, 47), (2, 3, 5), (2, 0, 35), (2, 6, 25), (3, 6, 40), (3, 5, 54), (3, 4, 33), (3, 0, 40), (3, 2, 40), (3, 7, 72), (4, 2, 45), (4, 5, 36), (4, 3, 33), (4, 0, 71), (4, 6, 77), (5, 1, 19), (5, 2, 59), (5, 3, 96), (5, 7, 48), (5, 4, 36), (5, 6, 57), (6, 3, 40), (6, 7, 5), (6, 0, 69), (6, 1, 99), (6, 5, 57), (6, 2, 25), (6, 4, 45), (7, 6, 5), (7, 5, 48), (7, 2, 47), (7, 3, 72)]"
tsp_brute_force,0.2207188606262207,"[0, 4, 5, 2, 3, 1, 7, 6, 0]",189,8,49.0,56,"[(0, 1, 19), (0, 2, 96), (0, 3, 20), (0, 4, 54), (0, 5, 66), (0, 6, 6), (0, 7, 28), (1, 0, 28), (1, 2, 78), (1, 3, 18), (1, 4, 60), (1, 5, 69), (1, 6, 30), (1, 7, 16), (2, 0, 96), (2, 1, 78), (2, 3, 56), (2, 4, 84), (2, 5, 20), (2, 6, 59), (2, 7, 70), (3, 0, 20), (3, 1, 18), (3, 2, 56), (3, 4, 41), (3, 5, 81), (3, 6, 62), (3, 7, 37), (4, 0, 54), (4, 1, 60), (4, 2, 84), (4, 3, 69), (4, 5, 18), (4, 6, 44), (4, 7, 70), (5, 0, 66), (5, 1, 69), (5, 2, 20), (5, 3, 81), (5, 4, 67), (5, 6, 99), (5, 7, 77), (6, 0, 6), (6, 1, 30), (6, 2, 59), (6, 3, 62), (6, 4, 44), (6, 5, 99), (6, 7, 1), (7, 0, 28), (7, 1, 32), (7, 2, 70), (7, 3, 37), (7, 4, 70), (7, 5, 77), (7, 6, 1)]"
tsp_brute_force,0.04414558410644531,,inf,8,12.25,14,"[(0, 5, 38), (0, 2, 37), (1, 5, 25), (1, 4, 17), (2, 0, 37), (2, 6, 55), (2, 3, 56), (3, 2, 56), (4, 1, 17), (5, 1, 25), (5, 0, 38), (6, 2, 55), (6, 7, 1), (7, 6, 1)]"
tsp_brute_force,0.09622335433959961,"[0, 6, 5, 2, 4, 3, 7, 1, 0]",232,8,36.75,42,"[(0, 4, 19), (0, 3, 87), (0, 5, 62), (0, 7, 89), (0, 1, 32), (0, 6, 32), (1, 7, 54), (1, 6, 71), (1, 0, 32), (1, 3, 92), (1, 5, 83), (2, 4, 23), (2, 6, 98), (2, 5, 92), (3, 0, 87), (3, 7, 13), (3, 5, 48), (3, 6, 100), (3, 1, 92), (3, 4, 7), (4, 0, 19), (4, 2, 20), (4, 3, 7), (4, 5, 68), (5, 3, 7), (5, 6, 5), (5, 7, 90), (5, 0, 62), (5, 1, 83), (5, 4, 68), (5, 2, 66), (6, 5, 5), (6, 2, 98), (6, 1, 71), (6, 3, 100), (6, 7, 49), (6, 0, 32), (7, 1, 54), (7, 3, 13), (7, 5, 90), (7, 6, 49), (7, 0, 89)]"
tsp_brute_force,0.22220873832702637,"[0, 7, 1, 3, 4, 5, 6, 2, 0]",196,8,49.0,56,"[(0, 1, 86), (0, 2, 3), (0, 3, 82), (0, 4, 84), (0, 5, 61), (0, 6, 69), (0, 7, 21), (1, 0, 53), (1, 2, 90), (1, 3, 40), (1, 4, 61), (1, 5, 44), (1, 6, 72), (1, 7, 18), (2, 0, 3), (2, 1, 90), (2, 3, 48), (2, 4, 31), (2, 5, 40), (2, 6, 90), (2, 7, 89), (3, 0, 82), (3, 1, 40), (3, 2, 48), (3, 4, 12), (3, 5, 83), (3, 6, 93), (3, 7, 6), (4, 0, 68), (4, 1, 61), (4, 2, 55), (4, 3, 24), (4, 5, 43), (4, 6, 48), (4, 7, 54), (5, 0, 61), (5, 1, 43), (5, 2, 40), (5, 3, 83), (5, 4, 43), (5, 6, 38), (5, 7, 12), (6, 0, 69), (6, 1, 72), (6, 2, 21), (6, 3, 35), (6, 4, 48), (6, 5, 38), (6, 7, 42), (7, 0, 21), (7, 1, 18), (7, 2, 59), (7, 3, 50), (7, 4, 54), (7, 5, 12), (7, 6, 42)]"
tsp_brute_force,0.03868699073791504,,inf,8,12.25,14,"[(0, 3, 64), (1, 5, 34), (1, 2, 91), (1, 6, 15), (2, 1, 91), (3, 5, 23), (3, 0, 64), (4, 7, 33), (5, 3, 23), (5, 7, 79), (5, 1, 6), (6, 1, 6), (7, 5, 79), (7, 4, 33)]"
tsp_brute_force,0.08779144287109375,"[0, 3, 7, 2, 5, 4, 6, 1, 0]",144,8,35.0,40,"[(0, 5, 51), (0, 6, 90), (0, 1, 38), (0, 2, 70), (0, 3, 12), (0, 4, 28), (1, 7, 74), (1, 3, 47), (1, 6, 70), (1, 4, 6), (1, 2, 15), (1, 0, 38), (2, 3, 95), (2, 5, 2), (2, 7, 17), (2, 1, 15), (2, 6, 1), (2, 0, 70), (3, 2, 95), (3, 1, 47), (3, 7, 40), (3, 5, 45), (3, 0, 12), (4, 7, 32), (4, 5, 25), (4, 1, 6), (4, 0, 28), (4, 6, 4), (5, 2, 74), (5, 4, 25), (5, 0, 51), (5, 3, 45), (6, 1, 6), (6, 0, 90), (6, 2, 1), (6, 4, 4), (7, 4, 32), (7, 1, 47), (7, 3, 40), (7, 2, 17)]"
tsp_brute_force,0.22617602348327637,"[0, 5, 6, 1, 3, 7, 4, 2, 0]",244,8,49.0,56,"[(0, 1, 55), (0, 2, 39), (0, 3, 21), (0, 4, 96), (0, 5, 2), (0, 6, 93), (0, 7, 46), (1, 0, 55), (1, 2, 84), (1, 3, 29), (1, 4, 41), (1, 5, 26), (1, 6, 55), (1, 7, 58), (2, 0, 39), (2, 1, 84), (2, 3, 32), (2, 4, 44), (2, 5, 71), (2, 6, 95), (2, 7, 85), (3, 0, 80), (3, 1, 29), (3, 2, 32), (3, 4, 55), (3, 5, 99), (3, 6, 87), (3, 7, 29), (4, 0, 96), (4, 1, 41), (4, 2, 37), (4, 3, 55), (4, 5, 70), (4, 6, 99), (4, 7, 33), (5, 0, 2), (5, 1, 26), (5, 2, 71), (5, 3, 47), (5, 4, 70), (5, 6, 20), (5, 7, 87), (6, 0, 37), (6, 1, 55), (6, 2, 95), (6, 3, 87), (6, 4, 99), (6, 5, 43), (6, 7, 65), (7, 0, 46), (7, 1, 58), (7, 2, 85), (7, 3, 29), (7, 4, 33), (7, 5, 87), (7, 6, 65)]"
tsp_brute_force,0.03868818283081055,,inf,8,12.25,14,"[(0, 2, 74), (0, 7, 69), (0, 1, 98), (1, 0, 98), (1, 5, 92), (1, 4, 41), (2, 3, 74), (2, 0, 74), (3, 2, 58), (4, 1, 41), (5, 1, 92), (5, 6, 4), (6, 5, 81), (7, 0, 69)]"
tsp_brute_force,0.10465621948242188,"[0, 4, 2, 3, 7, 1, 6, 5, 0]",328,8,38.5,44,"[(0, 6, 48), (0, 5, 20), (0, 4, 39), (0, 7, 71), (0, 3, 100), (0, 1, 63), (1, 5, 74), (1, 7, 33), (1, 6, 34), (1, 4, 95), (1, 0, 33), (2, 3, 53), (2, 4, 43), (3, 2, 53), (3, 0, 100), (3, 5, 74), (3, 7, 12), (3, 4, 1), (3, 6, 96), (4, 0, 71), (4, 2, 43), (4, 1, 95), (4, 7, 30), (4, 3, 1), (4, 6, 61), (4, 5, 87), (5, 1, 74), (5, 0, 20), (5, 6, 94), (5, 7, 77), (5, 3, 74), (5, 4, 93), (6, 0, 48), (6, 1, 34), (6, 5, 94), (6, 7, 97), (6, 3, 96), (6, 4, 61), (7, 1, 33), (7, 0, 71), (7, 5, 77), (7, 6, 97), (7, 4, 30), (7, 3, 12)]"
tsp_brute_force,0.22022342681884766,"[0, 3, 1, 5, 4, 6, 7, 2, 0]",113,8,49.0,56,"[(0, 1, 90), (0, 2, 35), (0, 3, 29), (0, 4, 53), (0, 5, 47), (0, 6, 93), (0, 7, 97), (1, 0, 90), (1, 2, 52), (1, 3, 1), (1, 4, 83), (1, 5, 8), (1, 6, 87), (1, 7, 28), (2, 0, 35), (2, 1, 66), (2, 3, 26), (2, 4, 40), (2, 5, 32), (2, 6, 64), (2, 7, 23), (3, 0, 48), (3, 1, 1), (3, 2, 13), (3, 4, 8), (3, 5, 21), (3, 6, 71), (3, 7, 39), (4, 0, 66), (4, 1, 77), (4, 2, 2), (4, 3, 66), (4, 5, 74), (4, 6, 2), (4, 7, 11), (5, 0, 47), (5, 1, 8), (5, 2, 32), (5, 3, 27), (5, 4, 12), (5, 6, 38), (5, 7, 77), (6, 0, 93), (6, 1, 87), (6, 2, 64), (6, 3, 34), (6, 4, 2), (6, 5, 64), (6, 7, 3), (7, 0, 97), (7, 1, 28), (7, 2, 23), (7, 3, 39), (7, 4, 11), (7, 5, 9), (7, 6, 5)]"
tsp_brute_force,0.03819131851196289,,inf,8,12.25,14,"[(0, 6, 30), (0, 3, 53), (1, 7, 80), (2, 3, 82), (3, 0, 70), (3, 2, 82), (4, 6, 55), (5, 6, 85), (6, 5, 85), (6, 4, 23), (6, 0, 30), (6, 7, 12), (7, 6, 12), (7, 1, 80)]"
